target_acceleration_g0,specific_magnetic_moment_a_m2_kg,element_mass_g,magnetic_moment_a_m2,force_per_element_n,required_gradient_t_m,recovered_acceleration_m_s2,gradient_mass_independent_at_fixed_specific_moment,fidelity,orientation_assumption,field_seeking_classification,assumptions,warnings
100.0,10.0,1000.0,10.0,980.665,98.06649999999999,980.665,True,M1-DIPOLE,adiabatic alignment with local |B| gradient,high-field-seeking,The dipole moment magnitude is constant over the interaction. | Torque aligns the dipole sufficiently rapidly for the scalar force approximation.,Point-dipole approximation requires field variation length scales larger than the rotor. | Static three-dimensional passive stability is not guaranteed for a high-field-seeking dipole.
100.0,10.0,50.0,0.5,49.033249999999995,98.06649999999999,980.6649999999998,True,M1-DIPOLE,adiabatic alignment with local |B| gradient,high-field-seeking,The dipole moment magnitude is constant over the interaction. | Torque aligns the dipole sufficiently rapidly for the scalar force approximation.,Point-dipole approximation requires field variation length scales larger than the rotor. | Static three-dimensional passive stability is not guaranteed for a high-field-seeking dipole.
100.0,10.0,0.1,0.001,0.09806649999999999,98.06649999999999,980.6649999999998,True,M1-DIPOLE,adiabatic alignment with local |B| gradient,high-field-seeking,The dipole moment magnitude is constant over the interaction. | Torque aligns the dipole sufficiently rapidly for the scalar force approximation.,Point-dipole approximation requires field variation length scales larger than the rotor. | Static three-dimensional passive stability is not guaranteed for a high-field-seeking dipole.
100.0,50.0,1000.0,50.0,980.665,19.6133,980.665,True,M1-DIPOLE,adiabatic alignment with local |B| gradient,high-field-seeking,The dipole moment magnitude is constant over the interaction. | Torque aligns the dipole sufficiently rapidly for the scalar force approximation.,Point-dipole approximation requires field variation length scales larger than the rotor. | Static three-dimensional passive stability is not guaranteed for a high-field-seeking dipole.
100.0,50.0,50.0,2.5,49.033249999999995,19.6133,980.6649999999998,True,M1-DIPOLE,adiabatic alignment with local |B| gradient,high-field-seeking,The dipole moment magnitude is constant over the interaction. | Torque aligns the dipole sufficiently rapidly for the scalar force approximation.,Point-dipole approximation requires field variation length scales larger than the rotor. | Static three-dimensional passive stability is not guaranteed for a high-field-seeking dipole.
100.0,50.0,0.1,0.005,0.0980665,19.6133,980.665,True,M1-DIPOLE,adiabatic alignment with local |B| gradient,high-field-seeking,The dipole moment magnitude is constant over the interaction. | Torque aligns the dipole sufficiently rapidly for the scalar force approximation.,Point-dipole approximation requires field variation length scales larger than the rotor. | Static three-dimensional passive stability is not guaranteed for a high-field-seeking dipole.
100.0,100.0,1000.0,100.0,980.665,9.80665,980.665,True,M1-DIPOLE,adiabatic alignment with local |B| gradient,high-field-seeking,The dipole moment magnitude is constant over the interaction. | Torque aligns the dipole sufficiently rapidly for the scalar force approximation.,Point-dipole approximation requires field variation length scales larger than the rotor. | Static three-dimensional passive stability is not guaranteed for a high-field-seeking dipole.
100.0,100.0,50.0,5.0,49.033249999999995,9.80665,980.6649999999998,True,M1-DIPOLE,adiabatic alignment with local |B| gradient,high-field-seeking,The dipole moment magnitude is constant over the interaction. | Torque aligns the dipole sufficiently rapidly for the scalar force approximation.,Point-dipole approximation requires field variation length scales larger than the rotor. | Static three-dimensional passive stability is not guaranteed for a high-field-seeking dipole.
100.0,100.0,0.1,0.01,0.0980665,9.80665,980.665,True,M1-DIPOLE,adiabatic alignment with local |B| gradient,high-field-seeking,The dipole moment magnitude is constant over the interaction. | Torque aligns the dipole sufficiently rapidly for the scalar force approximation.,Point-dipole approximation requires field variation length scales larger than the rotor. | Static three-dimensional passive stability is not guaranteed for a high-field-seeking dipole.
100.0,200.0,1000.0,200.0,980.665,4.903325,980.665,True,M1-DIPOLE,adiabatic alignment with local |B| gradient,high-field-seeking,The dipole moment magnitude is constant over the interaction. | Torque aligns the dipole sufficiently rapidly for the scalar force approximation.,Point-dipole approximation requires field variation length scales larger than the rotor. | Static three-dimensional passive stability is not guaranteed for a high-field-seeking dipole.
100.0,200.0,50.0,10.0,49.033249999999995,4.903325,980.6649999999998,True,M1-DIPOLE,adiabatic alignment with local |B| gradient,high-field-seeking,The dipole moment magnitude is constant over the interaction. | Torque aligns the dipole sufficiently rapidly for the scalar force approximation.,Point-dipole approximation requires field variation length scales larger than the rotor. | Static three-dimensional passive stability is not guaranteed for a high-field-seeking dipole.
100.0,200.0,0.1,0.02,0.0980665,4.903325,980.665,True,M1-DIPOLE,adiabatic alignment with local |B| gradient,high-field-seeking,The dipole moment magnitude is constant over the interaction. | Torque aligns the dipole sufficiently rapidly for the scalar force approximation.,Point-dipole approximation requires field variation length scales larger than the rotor. | Static three-dimensional passive stability is not guaranteed for a high-field-seeking dipole.
100.0,500.0,1000.0,500.0,980.665,1.96133,980.665,True,M1-DIPOLE,adiabatic alignment with local |B| gradient,high-field-seeking,The dipole moment magnitude is constant over the interaction. | Torque aligns the dipole sufficiently rapidly for the scalar force approximation.,Point-dipole approximation requires field variation length scales larger than the rotor. | Static three-dimensional passive stability is not guaranteed for a high-field-seeking dipole.
100.0,500.0,50.0,25.0,49.03325,1.96133,980.665,True,M1-DIPOLE,adiabatic alignment with local |B| gradient,high-field-seeking,The dipole moment magnitude is constant over the interaction. | Torque aligns the dipole sufficiently rapidly for the scalar force approximation.,Point-dipole approximation requires field variation length scales larger than the rotor. | Static three-dimensional passive stability is not guaranteed for a high-field-seeking dipole.
100.0,500.0,0.1,0.05,0.0980665,1.96133,980.665,True,M1-DIPOLE,adiabatic alignment with local |B| gradient,high-field-seeking,The dipole moment magnitude is constant over the interaction. | Torque aligns the dipole sufficiently rapidly for the scalar force approximation.,Point-dipole approximation requires field variation length scales larger than the rotor. | Static three-dimensional passive stability is not guaranteed for a high-field-seeking dipole.
250.0,10.0,1000.0,10.0,2451.6625,245.16625,2451.6625,True,M1-DIPOLE,adiabatic alignment with local |B| gradient,high-field-seeking,The dipole moment magnitude is constant over the interaction. | Torque aligns the dipole sufficiently rapidly for the scalar force approximation.,Point-dipole approximation requires field variation length scales larger than the rotor. | Static three-dimensional passive stability is not guaranteed for a high-field-seeking dipole.
250.0,10.0,50.0,0.5,122.583125,245.16625,2451.6625,True,M1-DIPOLE,adiabatic alignment with local |B| gradient,high-field-seeking,The dipole moment magnitude is constant over the interaction. | Torque aligns the dipole sufficiently rapidly for the scalar force approximation.,Point-dipole approximation requires field variation length scales larger than the rotor. | Static three-dimensional passive stability is not guaranteed for a high-field-seeking dipole.
250.0,10.0,0.1,0.001,0.24516625,245.16625,2451.6625,True,M1-DIPOLE,adiabatic alignment with local |B| gradient,high-field-seeking,The dipole moment magnitude is constant over the interaction. | Torque aligns the dipole sufficiently rapidly for the scalar force approximation.,Point-dipole approximation requires field variation length scales larger than the rotor. | Static three-dimensional passive stability is not guaranteed for a high-field-seeking dipole.
250.0,50.0,1000.0,50.0,2451.6625,49.033249999999995,2451.6625,True,M1-DIPOLE,adiabatic alignment with local |B| gradient,high-field-seeking,The dipole moment magnitude is constant over the interaction. | Torque aligns the dipole sufficiently rapidly for the scalar force approximation.,Point-dipole approximation requires field variation length scales larger than the rotor. | Static three-dimensional passive stability is not guaranteed for a high-field-seeking dipole.
250.0,50.0,50.0,2.5,122.583125,49.033249999999995,2451.6625,True,M1-DIPOLE,adiabatic alignment with local |B| gradient,high-field-seeking,The dipole moment magnitude is constant over the interaction. | Torque aligns the dipole sufficiently rapidly for the scalar force approximation.,Point-dipole approximation requires field variation length scales larger than the rotor. | Static three-dimensional passive stability is not guaranteed for a high-field-seeking dipole.
250.0,50.0,0.1,0.005,0.24516624999999997,49.033249999999995,2451.6624999999995,True,M1-DIPOLE,adiabatic alignment with local |B| gradient,high-field-seeking,The dipole moment magnitude is constant over the interaction. | Torque aligns the dipole sufficiently rapidly for the scalar force approximation.,Point-dipole approximation requires field variation length scales larger than the rotor. | Static three-dimensional passive stability is not guaranteed for a high-field-seeking dipole.
250.0,100.0,1000.0,100.0,2451.6625,24.516624999999998,2451.6625,True,M1-DIPOLE,adiabatic alignment with local |B| gradient,high-field-seeking,The dipole moment magnitude is constant over the interaction. | Torque aligns the dipole sufficiently rapidly for the scalar force approximation.,Point-dipole approximation requires field variation length scales larger than the rotor. | Static three-dimensional passive stability is not guaranteed for a high-field-seeking dipole.
250.0,100.0,50.0,5.0,122.583125,24.516624999999998,2451.6625,True,M1-DIPOLE,adiabatic alignment with local |B| gradient,high-field-seeking,The dipole moment magnitude is constant over the interaction. | Torque aligns the dipole sufficiently rapidly for the scalar force approximation.,Point-dipole approximation requires field variation length scales larger than the rotor. | Static three-dimensional passive stability is not guaranteed for a high-field-seeking dipole.
250.0,100.0,0.1,0.01,0.24516624999999997,24.516624999999998,2451.6624999999995,True,M1-DIPOLE,adiabatic alignment with local |B| gradient,high-field-seeking,The dipole moment magnitude is constant over the interaction. | Torque aligns the dipole sufficiently rapidly for the scalar force approximation.,Point-dipole approximation requires field variation length scales larger than the rotor. | Static three-dimensional passive stability is not guaranteed for a high-field-seeking dipole.
250.0,200.0,1000.0,200.0,2451.6625,12.258312499999999,2451.6625,True,M1-DIPOLE,adiabatic alignment with local |B| gradient,high-field-seeking,The dipole moment magnitude is constant over the interaction. | Torque aligns the dipole sufficiently rapidly for the scalar force approximation.,Point-dipole approximation requires field variation length scales larger than the rotor. | Static three-dimensional passive stability is not guaranteed for a high-field-seeking dipole.
250.0,200.0,50.0,10.0,122.583125,12.258312499999999,2451.6625,True,M1-DIPOLE,adiabatic alignment with local |B| gradient,high-field-seeking,The dipole moment magnitude is constant over the interaction. | Torque aligns the dipole sufficiently rapidly for the scalar force approximation.,Point-dipole approximation requires field variation length scales larger than the rotor. | Static three-dimensional passive stability is not guaranteed for a high-field-seeking dipole.
250.0,200.0,0.1,0.02,0.24516624999999997,12.258312499999999,2451.6624999999995,True,M1-DIPOLE,adiabatic alignment with local |B| gradient,high-field-seeking,The dipole moment magnitude is constant over the interaction. | Torque aligns the dipole sufficiently rapidly for the scalar force approximation.,Point-dipole approximation requires field variation length scales larger than the rotor. | Static three-dimensional passive stability is not guaranteed for a high-field-seeking dipole.
250.0,500.0,1000.0,500.0,2451.6625,4.903325,2451.6625,True,M1-DIPOLE,adiabatic alignment with local |B| gradient,high-field-seeking,The dipole moment magnitude is constant over the interaction. | Torque aligns the dipole sufficiently rapidly for the scalar force approximation.,Point-dipole approximation requires field variation length scales larger than the rotor. | Static three-dimensional passive stability is not guaranteed for a high-field-seeking dipole.
250.0,500.0,50.0,25.0,122.583125,4.903325,2451.6625,True,M1-DIPOLE,adiabatic alignment with local |B| gradient,high-field-seeking,The dipole moment magnitude is constant over the interaction. | Torque aligns the dipole sufficiently rapidly for the scalar force approximation.,Point-dipole approximation requires field variation length scales larger than the rotor. | Static three-dimensional passive stability is not guaranteed for a high-field-seeking dipole.
250.0,500.0,0.1,0.05,0.24516625,4.903325,2451.6625,True,M1-DIPOLE,adiabatic alignment with local |B| gradient,high-field-seeking,The dipole moment magnitude is constant over the interaction. | Torque aligns the dipole sufficiently rapidly for the scalar force approximation.,Point-dipole approximation requires field variation length scales larger than the rotor. | Static three-dimensional passive stability is not guaranteed for a high-field-seeking dipole.
500.0,10.0,1000.0,10.0,4903.325,490.3325,4903.325,True,M1-DIPOLE,adiabatic alignment with local |B| gradient,high-field-seeking,The dipole moment magnitude is constant over the interaction. | Torque aligns the dipole sufficiently rapidly for the scalar force approximation.,Point-dipole approximation requires field variation length scales larger than the rotor. | Static three-dimensional passive stability is not guaranteed for a high-field-seeking dipole.
500.0,10.0,50.0,0.5,245.16625,490.3325,4903.325,True,M1-DIPOLE,adiabatic alignment with local |B| gradient,high-field-seeking,The dipole moment magnitude is constant over the interaction. | Torque aligns the dipole sufficiently rapidly for the scalar force approximation.,Point-dipole approximation requires field variation length scales larger than the rotor. | Static three-dimensional passive stability is not guaranteed for a high-field-seeking dipole.
500.0,10.0,0.1,0.001,0.4903325,490.3325,4903.325,True,M1-DIPOLE,adiabatic alignment with local |B| gradient,high-field-seeking,The dipole moment magnitude is constant over the interaction. | Torque aligns the dipole sufficiently rapidly for the scalar force approximation.,Point-dipole approximation requires field variation length scales larger than the rotor. | Static three-dimensional passive stability is not guaranteed for a high-field-seeking dipole.
500.0,50.0,1000.0,50.0,4903.325,98.06649999999999,4903.325,True,M1-DIPOLE,adiabatic alignment with local |B| gradient,high-field-seeking,The dipole moment magnitude is constant over the interaction. | Torque aligns the dipole sufficiently rapidly for the scalar force approximation.,Point-dipole approximation requires field variation length scales larger than the rotor. | Static three-dimensional passive stability is not guaranteed for a high-field-seeking dipole.
500.0,50.0,50.0,2.5,245.16625,98.06649999999999,4903.325,True,M1-DIPOLE,adiabatic alignment with local |B| gradient,high-field-seeking,The dipole moment magnitude is constant over the interaction. | Torque aligns the dipole sufficiently rapidly for the scalar force approximation.,Point-dipole approximation requires field variation length scales larger than the rotor. | Static three-dimensional passive stability is not guaranteed for a high-field-seeking dipole.
500.0,50.0,0.1,0.005,0.49033249999999995,98.06649999999999,4903.324999999999,True,M1-DIPOLE,adiabatic alignment with local |B| gradient,high-field-seeking,The dipole moment magnitude is constant over the interaction. | Torque aligns the dipole sufficiently rapidly for the scalar force approximation.,Point-dipole approximation requires field variation length scales larger than the rotor. | Static three-dimensional passive stability is not guaranteed for a high-field-seeking dipole.
500.0,100.0,1000.0,100.0,4903.325,49.033249999999995,4903.325,True,M1-DIPOLE,adiabatic alignment with local |B| gradient,high-field-seeking,The dipole moment magnitude is constant over the interaction. | Torque aligns the dipole sufficiently rapidly for the scalar force approximation.,Point-dipole approximation requires field variation length scales larger than the rotor. | Static three-dimensional passive stability is not guaranteed for a high-field-seeking dipole.
500.0,100.0,50.0,5.0,245.16625,49.033249999999995,4903.325,True,M1-DIPOLE,adiabatic alignment with local |B| gradient,high-field-seeking,The dipole moment magnitude is constant over the interaction. | Torque aligns the dipole sufficiently rapidly for the scalar force approximation.,Point-dipole approximation requires field variation length scales larger than the rotor. | Static three-dimensional passive stability is not guaranteed for a high-field-seeking dipole.
500.0,100.0,0.1,0.01,0.49033249999999995,49.033249999999995,4903.324999999999,True,M1-DIPOLE,adiabatic alignment with local |B| gradient,high-field-seeking,The dipole moment magnitude is constant over the interaction. | Torque aligns the dipole sufficiently rapidly for the scalar force approximation.,Point-dipole approximation requires field variation length scales larger than the rotor. | Static three-dimensional passive stability is not guaranteed for a high-field-seeking dipole.
500.0,200.0,1000.0,200.0,4903.325,24.516624999999998,4903.325,True,M1-DIPOLE,adiabatic alignment with local |B| gradient,high-field-seeking,The dipole moment magnitude is constant over the interaction. | Torque aligns the dipole sufficiently rapidly for the scalar force approximation.,Point-dipole approximation requires field variation length scales larger than the rotor. | Static three-dimensional passive stability is not guaranteed for a high-field-seeking dipole.
500.0,200.0,50.0,10.0,245.16625,24.516624999999998,4903.325,True,M1-DIPOLE,adiabatic alignment with local |B| gradient,high-field-seeking,The dipole moment magnitude is constant over the interaction. | Torque aligns the dipole sufficiently rapidly for the scalar force approximation.,Point-dipole approximation requires field variation length scales larger than the rotor. | Static three-dimensional passive stability is not guaranteed for a high-field-seeking dipole.
500.0,200.0,0.1,0.02,0.49033249999999995,24.516624999999998,4903.324999999999,True,M1-DIPOLE,adiabatic alignment with local |B| gradient,high-field-seeking,The dipole moment magnitude is constant over the interaction. | Torque aligns the dipole sufficiently rapidly for the scalar force approximation.,Point-dipole approximation requires field variation length scales larger than the rotor. | Static three-dimensional passive stability is not guaranteed for a high-field-seeking dipole.
500.0,500.0,1000.0,500.0,4903.325,9.80665,4903.325,True,M1-DIPOLE,adiabatic alignment with local |B| gradient,high-field-seeking,The dipole moment magnitude is constant over the interaction. | Torque aligns the dipole sufficiently rapidly for the scalar force approximation.,Point-dipole approximation requires field variation length scales larger than the rotor. | Static three-dimensional passive stability is not guaranteed for a high-field-seeking dipole.
500.0,500.0,50.0,25.0,245.16625,9.80665,4903.325,True,M1-DIPOLE,adiabatic alignment with local |B| gradient,high-field-seeking,The dipole moment magnitude is constant over the interaction. | Torque aligns the dipole sufficiently rapidly for the scalar force approximation.,Point-dipole approximation requires field variation length scales larger than the rotor. | Static three-dimensional passive stability is not guaranteed for a high-field-seeking dipole.
